"id.exposure","id.outcome","outcome","exposure","method","Q","Q_df","Q_pval","Exposure","Outcome"
"ebi-a-GCST90025992","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Serum albumin levels || id:ebi-a-GCST90025992","Inverse variance weighted",233.164607335632,190,0.0178889686234907,"Albumin","CKD_CKDGen"
"ebi-a-GCST90025992","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Serum albumin levels || id:ebi-a-GCST90025992","MR Egger",233.091918305353,189,0.0159423548665689,"Albumin","CKD_CKDGen"
"ebi-a-GCST90025992","finn-b-N14_CHRONKIDNEYDIS","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS","Serum albumin levels || id:ebi-a-GCST90025992","Inverse variance weighted",245.491977825335,225,0.166187199200459,"Albumin","CKD_FinnGen"
"ebi-a-GCST90025992","finn-b-N14_CHRONKIDNEYDIS","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS","Serum albumin levels || id:ebi-a-GCST90025992","MR Egger",245.26907335692,224,0.157212669631567,"Albumin","CKD_FinnGen"
"ebi-a-GCST90025969","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Hemoglobin levels || id:ebi-a-GCST90025969","Inverse variance weighted",552.236957679192,291,2.06641361182319e-18,"Hemoglobin","CKD_CKDGen"
"ebi-a-GCST90025969","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Hemoglobin levels || id:ebi-a-GCST90025969","MR Egger",552.130256926044,290,1.52948054766661e-18,"Hemoglobin","CKD_CKDGen"
"ebi-a-GCST90025969","finn-b-N14_CHRONKIDNEYDIS","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS","Hemoglobin levels || id:ebi-a-GCST90025969","Inverse variance weighted",363.71385092273,340,0.180230555493307,"Hemoglobin","CKD_FinnGen"
"ebi-a-GCST90025969","finn-b-N14_CHRONKIDNEYDIS","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS","Hemoglobin levels || id:ebi-a-GCST90025969","MR Egger",361.071124764962,339,0.196170380085852,"Hemoglobin","CKD_FinnGen"
"ebi-a-GCST90025977","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Neutrophil count || id:ebi-a-GCST90025977","Inverse variance weighted",394.493882076259,276,0.00000357649439058613,"Neutrophil","CKD_CKDGen"
"ebi-a-GCST90025977","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Neutrophil count || id:ebi-a-GCST90025977","MR Egger",392.953106247585,275,0.00000377988666423631,"Neutrophil","CKD_CKDGen"
"ebi-a-GCST90025977","finn-b-N14_CHRONKIDNEYDIS","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS","Neutrophil count || id:ebi-a-GCST90025977","Inverse variance weighted",352.716363738601,316,0.0758208147395256,"Neutrophil","CKD_FinnGen"
"ebi-a-GCST90025977","finn-b-N14_CHRONKIDNEYDIS","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS","Neutrophil count || id:ebi-a-GCST90025977","MR Egger",349.01043868825,315,0.0908672497174333,"Neutrophil","CKD_FinnGen"
"ebi-a-GCST90025984","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Lymphocyte count || id:ebi-a-GCST90025984","Inverse variance weighted",355.854848834767,320,0.0817066424421478,"Lymphocyte","CKD_CKDGen"
"ebi-a-GCST90025984","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Lymphocyte count || id:ebi-a-GCST90025984","MR Egger",353.503840116493,319,0.0891789488167693,"Lymphocyte","CKD_CKDGen"
"ebi-a-GCST90025984","finn-b-N14_CHRONKIDNEYDIS","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS","Lymphocyte count || id:ebi-a-GCST90025984","Inverse variance weighted",454.190134041636,376,0.00348208789944923,"Lymphocyte","CKD_FinnGen"
"ebi-a-GCST90025984","finn-b-N14_CHRONKIDNEYDIS","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS","Lymphocyte count || id:ebi-a-GCST90025984","MR Egger",454.072786250774,375,0.00316539580179761,"Lymphocyte","CKD_FinnGen"
