"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","Exposure","Outcome","Exposure_id","Outcome_id","Outcome_type"
"ebi-a-GCST90025992","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Serum albumin levels || id:ebi-a-GCST90025992","Inverse variance weighted",191,0.000399736359124188,0.0627054947229148,0.994913662502204,"Albumin","CKD_CKDGen","ebi-a-GCST90025992","ieu-a-1102","binary_CKD"
"ebi-a-GCST90025992","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Serum albumin levels || id:ebi-a-GCST90025992","MR Egger",191,-0.0303309055603351,0.141330825255152,0.83030334212531,"Albumin","CKD_CKDGen","ebi-a-GCST90025992","ieu-a-1102","binary_CKD"
"ebi-a-GCST90025992","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Serum albumin levels || id:ebi-a-GCST90025992","Weighted median",191,0.0366123001877301,0.0937972541056996,0.69628924752401,"Albumin","CKD_CKDGen","ebi-a-GCST90025992","ieu-a-1102","binary_CKD"
"ebi-a-GCST90025992","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Serum albumin levels || id:ebi-a-GCST90025992","Simple mode",191,0.00242404850022204,0.217878844288431,0.991134854673885,"Albumin","CKD_CKDGen","ebi-a-GCST90025992","ieu-a-1102","binary_CKD"
"ebi-a-GCST90025992","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Serum albumin levels || id:ebi-a-GCST90025992","Weighted mode",191,0.0189425873204874,0.128213658324098,0.88270277397337,"Albumin","CKD_CKDGen","ebi-a-GCST90025992","ieu-a-1102","binary_CKD"
"ebi-a-GCST90025992","finn-b-N14_CHRONKIDNEYDIS","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS","Serum albumin levels || id:ebi-a-GCST90025992","Inverse variance weighted",226,0.171317809861171,0.0810850721825369,0.0346165492507847,"Albumin","CKD_FinnGen","ebi-a-GCST90025992","finn-b-N14_CHRONKIDNEYDIS","binary_CKD"
"ebi-a-GCST90025992","finn-b-N14_CHRONKIDNEYDIS","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS","Serum albumin levels || id:ebi-a-GCST90025992","MR Egger",226,0.230376253971835,0.154050004724415,0.136200860776805,"Albumin","CKD_FinnGen","ebi-a-GCST90025992","finn-b-N14_CHRONKIDNEYDIS","binary_CKD"
"ebi-a-GCST90025992","finn-b-N14_CHRONKIDNEYDIS","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS","Serum albumin levels || id:ebi-a-GCST90025992","Weighted median",226,0.384570219983262,0.132549099512165,0.00371568548516219,"Albumin","CKD_FinnGen","ebi-a-GCST90025992","finn-b-N14_CHRONKIDNEYDIS","binary_CKD"
"ebi-a-GCST90025992","finn-b-N14_CHRONKIDNEYDIS","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS","Serum albumin levels || id:ebi-a-GCST90025992","Simple mode",226,0.327544490051246,0.296546596402565,0.270543248230454,"Albumin","CKD_FinnGen","ebi-a-GCST90025992","finn-b-N14_CHRONKIDNEYDIS","binary_CKD"
"ebi-a-GCST90025992","finn-b-N14_CHRONKIDNEYDIS","Chronic kidney disease || id:finn-b-N14_CHRONKIDNEYDIS","Serum albumin levels || id:ebi-a-GCST90025992","Weighted mode",226,0.413157348323462,0.17782308328006,0.0210492242465894,"Albumin","CKD_FinnGen","ebi-a-GCST90025992","finn-b-N14_CHRONKIDNEYDIS","binary_CKD"
"ebi-a-GCST90025969","ieu-a-1102","Chronic kidney disease || id:ieu-a-1102","Hemoglobin levels || id:ebi-a-GCST90025969","Inverse variance weighted",292,-0.066280539319078,0.060814364735668,0.275764707488401,"Hemoglobin","CKD_CKDGen","ebi-a-GCST90025969","ieu-a-1102","binary_CKD"
