feature,overall (n=22617),No CKD (n=18718),haveCKD (n=3899),Pvalue
  age (years),49.8 ± 17.8,47.1 ± 16.9,62.5 ± 16.4,<0.001
  BMI (kg/m²),29.3 ± 7.1,29.1 ± 7.0,30.3 ± 7.5,<0.001
  NLR,2.2 ± 1.2,2.1 ± 1.1,2.5 ± 1.5,<0.001
  hemoglobin (g/dL),13.9 ± 1.5,14.0 ± 1.5,13.5 ± 1.7,<0.001
  albumin (g/dL),4.2 ± 0.4,4.2 ± 0.4,4.1 ± 0.4,<0.001
  IAN score,3.2 ± 1.6,3.0 ± 1.5,3.8 ± 1.5,<0.001
  eGFR (mL/min/1.73m²),94.0 ± 24.2,99.2 ± 19.2,71.1 ± 30.1,<0.001
  UACR (mg/g),7.4 (4.8-14.5),6.5 (4.5-10.3),48.0 (20.9-119.3),<0.001
sex,11670 (51.6%),9630 (51.4%),2040 (52.3%),
,10947 (48.4%),9088 (48.6%),1859 (47.7%),
race,5408 (23.9%),4600 (24.6%),808 (20.7%),
,5128 (22.7%),4178 (22.3%),950 (24.4%),
,8311 (36.7%),6658 (35.6%),1653 (42.4%),
,3770 (16.7%),3282 (17.5%),488 (12.5%),
BMIgroup,5923 (26.2%),5070 (27.1%),853 (21.9%),
,8198 (36.2%),6490 (34.7%),1708 (43.8%),
,6842 (30.3%),5685 (30.4%),1157 (29.7%),
,375 (1.7%),304 (1.6%),71 (1.8%),
hypertension,14280 (63.1%),12883 (68.8%),1397 (35.8%),
,8337 (36.9%),5835 (31.2%),2502 (64.2%),
survey cycle,5560 (24.6%),4624 (24.7%),936 (24.0%),
,5769 (25.5%),4769 (25.5%),1000 (25.6%),
,5719 (25.3%),4777 (25.5%),942 (24.2%),
,5569 (24.6%),4548 (24.3%),1021 (26.2%),
